20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20081120112924AAM1ijL	Entertainment & Music;Polls & Surveys	Brincadeira de avatar: diga uma coisa q vc "nunca" faria ao avatar acima:?	"nunca pode se dizer nunca, por isso coloquei o nunca entre aspas.      bao tarde a tds.
20081122110823AACf7Y0	Entertainment & Music;Polls & Surveys	 >>>>>?	DEIXA-ME MUDAR!   Arneyde T. Marcheschi   15/05/1998 - 23,45hs           Amor, deixa-me mudar,   Espantar a poeira de velhas idéias,   abandonar o medo inútil.   Isso é deixar-se mudar.   Render-me ao orgulho, à vaidade   Com que eu sempre vivi.   Isso é deixar-se mudar.   Compreender que o amor é    algo lindo, divino, mas ao   mesmo tempo, misterioso, assustador...   Isso é deixar-se mudar.   Confiar na sabedoria da vida,   acreditar que existe realmente um    Ser acima de nós, que rege nossas vidas.   E saber aceitar o que me for designado,   Sem mágoas, sem ódios, nem revoltas.   Isso é deixar-se mudar.   Partir em busca do novo,    Procurar esquecer o passado.   Isso é deixar-se mudar.   Renascer a cada instante   e tornar-se vibrante   saboreando como amante   o infindável gosto de viver.   Isso é deixar-se mudar!       Só UMA MSG   BOM FDS A TDS.
20080708140601AAoLOv5	Entertainment & Music;Celebrities	What are some things you hate about Miley Cyrus.?	Be creative. I want LOTS of things.
20081016094606AA9KKHD	Entertainment & Music;Celebrities	What's up with dj paul's?	DJ Paul's arm from  three six mafia? he always have a cast on it      and it looks shorter than the other arm   what's up with his arm?
20080523203401AA75eHB	Entertainment & Music;Music;Other - Music	Cancin instrumental de los setentas con sonido de avin?	Necesito el nombre de una cancin completamente instrumental que sonaba en los a?os setenta, en la que se oa un avin despegar o aterrizar.  Bastante tranquila, con toque como de Barry White...  Alguien me puede ayudar?
20081030210641AA3deLF	Entertainment & Music;Music;Other - Music	Sad, touching, heart wrenching songs?	I'm looking for songs that are sad but still touching at the same time. Also, I would much rather prefer calming acoustic songs then loud rock songs. Please list as many as you think are truly worthy (the person with the best songs gets best answer!) Thanks!
20081031201655AA5ERaL	Entertainment & Music;Music;Other - Music	How do you cut down a song to make it shorter?	I have a song on iTunes and I want to cut out about the last 2:30. How do I do that? Should I use garage band? thanks!
20081102164908AAe7kVc	Entertainment & Music;Music;Lyrics	Good songs about apology and/or forgiveness? ?	I'm looking for songs that talk about how sorry someone is and/or someone asking for forgiveness. It would be great if the song could be slow (acoustic is perfect). Thanks!
20081108152850AAt6HjN	Entertainment & Music;Movies	Qual o melhor filme de todos os tempos?	N/A
20081026121809AAsamk7	Entertainment & Music;Movies	Que genero de filmes vcs gostam?	Digam o genero e coloquem um filme de exemplo ..
20081108041619AAQqVBx	Entertainment & Music;Polls & Surveys	Você já foi alvo do inimigo?	Bom dia!      Nós temos muitos inimigos invisíveis,além do diabo.   Mas ele tem seus assessores aqui na terra dos viventes,que s?o os perversos de carteirinha.      Quem é considerado teu inimigo hoje?      Pode ser a doen?a,desemprego,falência,calote,falso amigo,trai??o,alguém que te persegue.........      Tantas coisas podem ser consideradas como nosso inimigo.      Todos nós temos,n?o adianta falar filosoficamente,pois ninguém escapa do mal.é fato!      O meu maior inimigo é satanás,e suas marionetes seus assessores que me perturbam e tentam destruir minha vida é a familia de meu marido.      Perd?o o que vou dizer:Puro dem?nioss!      O que est?o fazendo em nossa vida,é coisa de capeta,é a única explica??o,para tantas maldades!      E vc?      Quem te persegue?   Quem é teu inimigo hoje?      Minha vida pode está destruída materialmente,sem apoio de homens,mas nosso amor,nossa Deus,nossa fé,jamais!      Enquanto à vida,podemos lutar,principalmente quando existe amor,tudo se renova a cada dia.   Saber que somos amados,respeitados,quando temos prova desse amor,tudo pode renascer das cinzas!      Um grande beijo a todos............da amiga Li@
20081026124839AA0zTdW	Entertainment & Music;Polls & Surveys	Você sabe responder a um pessimo xaveco?	OS PIORES XAVECOS        Obs:       cantada = homem                    Resposta = mulher       Cantada: Se beleza desse cadeia você pegaria pris?o perpétua   Resposta: Se feíura fosse crime, você pegaria pena de morte.         Cantada: Gata, você é linda demais, só tem um problema: a sua boca tá muito longe da minha!   Resposta: Quest?o de higiene         Cantada: Qual o caminho mais rápido pra chegar no seu cora??o?   Resposta: Cirurgia plástica, lavagem cerebral e uns 3 meses de malha??o.         Cantada: Você é a mais bela das belas das flores, uma rosa. Quer florescer no meu jardim ?   Resposta: Eu vou morrer de sede com o tamanho do seu regador         Cantada: Eu n?o acreditava em amor a primeira vista. Mas quando te vi mudei de idéia.   Resposta: Que coincidência! Eu também n?o acreditava em assombra??o.         Cantada: Você tem uma boca! Deve ter um gostinho... Posso provar?   Resposta: Pode... (cospe no ch?o e vira as costas)         Cantada: Se tivesse uma m?e como você mamaria até os 30 anos.   Resposta: Se eu tivesse um filho como você mandava pro circo!         Cantada: Nossa, n?o sabia que boneca andava!   Resposta: E eu n?o sabia que macaco falava!         Cantada: Oi, o cachorrinho tem telefone?   Resposta: Tem, porque? Sua m?e tá no cio?         Cantada: Este lugar está vago?   Resposta: Está, e este aqui onde estou também vai ficar se você se sentar aí.         Cantada: Será que eu já n?o te vi em algum lugar?   Resposta: Claro! Eu sou a recepcionista da clínica de doen?as venéreas... n?o se lembra?         Cantada: A gente já n?o se encontrou em algum lugar antes?   Resposta: Já e é exatamente por isso que eu n?o vou mais lá.         Cantada: A gente vai para a sua casa ou para a minha?   Resposta: Os dois. Você vai para a sua casa e eu vou para a minha.         Cantada: Eu queria te ligar, qual é o seu telefone?   Resposta: Está na lista.   Réplica: Mas eu n?o sei o seu nome.   Tréplica: Também está na lista, na frente do telefone.         Cantada: Ora, vamos parar com isso, nós dois estamos aqui nesta boate pelo mesmo motivo.   Resposta: é, pra pegar mulher...         Cantada: Eu quero me dar por completo pra você.   Resposta: Sinto muito, eu n?o aceito esmola.         Cantada: Se eu pudesse te ver nua, eu morreria feliz.   Resposta: Se eu pudesse te ver nu, eu morreria de rir.         Cantada: Está procurando boa companhia?   Resposta: Estou, mas com você por perto vai ficar muito mais difícil encontrar.       Vcs homens, gostam de dar uma xavecada?   Qual foi o xaveco que deu certo?      E vcs mulheres,gostam de ouvir?      Beijos a todos e bela semana.
20080912163346AAXkhcX	Entertainment & Music;Polls & Surveys	Você se parece com seu avatar?	Sei que tem muitos que usam suas fotos,mas tem muitos que n?o.   Ent?o,vc se parece com o avatar que te representa aqui?   Seja fisico ou personalidade.   Quais suas reais caracteristicas?   Tenho curiosidade de saber como é realmente,alguns amigos do yahoo pessoalmente!   Exemplo: Nosso amigo Gladiador,será que seu personagem diz algo ao seu respeito?   Amigo Wagner,será que aquele boneco colorido,mostra que vc é uma pessoa alegre,amorosa,divertida?   E assim por diante.      Antes que me perguntem,eu muitas vezes confundo todos,coloco uma foto verdadeira e outras n?o,mas ninguém percebe.Uma forma que encontrei de n?o ficar muito manjada.   Um beij?o e linda noite aben?oada.
20080930102806AAJ1gR2	Entertainment & Music;Music;Other - Music	Você acredita que tem bom gosto musical?ou se considera um drogado pelos sucessos?	   Gente,o texto é grandinho né,mas leiam,tenho certeza que ir?o gostar,ok.                                              "ALERTA SOBRE DROGAS"                 Tudo come?ou quando eu tinha uns 14 anos e um amigo chegou com aquele papo de "experimenta, depois, quando você quiser, é só parar..." e eu fui na dele.           Primeiro ele me ofereceu coisa leve, disse que era de "raiz", "da terra", que n?o fazia mal, e me deu um inofensivo disco do "Chit?ozinho e Xororó" e em seguida um do "Leandro e Leonardo".           Achei legal, coisa bem brasileira; mas a parada foi ficando mais pesada, o consumo cada vez mais freqüente, comecei a chamar todo mundo de "Amigo" e acabei comprando pela primeira vez. Lembro que cheguei na loja e pedi:           - Me dá um CD do Zezé de Camargo e Luciano.           Era o princípio de tudo!           Logo resolvi experimentar algo diferente e ele me ofereceu um CD de Axé.           Ele dizia que era para relaxar; sabe, coisa leve... "Banda Eva", "Cheiro de Amor", "Netinho", etc. Com o tempo, meu amigo foi oferecendo coisas piores: "é o Tchan", "Companhia do Pagode", "Asa de águia" e muito mais.           Após o uso contínuo eu já n?o queria mais saber de coisas leves, eu queria algo mais pesado, mais desafiador, que me fizesse mexer a bunda como eu nunca havia mexido antes, ent?o, meu "amigo" me deu o que eu queria, um CD do "Harmonia do Samba".           Minha bunda passou a ser o centro da minha vida, minha raz?o de existir.           Eu pensava por ela, respirava por ela, vivia por ela! Mas, depois de muito tempo de consumo, a droga perde o efeito, e você come?a a querer cada vez mais, mais, mais...   Comecei a freqüentar o submundo e correr atrás das paradas. Foi a partir daí que come?ou a minha decadência.           Fui ao show de encontro dos grupos "Carametade" e "Só pra Contrariar", e até comprei a Caras que tinha o "Rodriguinho" na capa. Quando dei por mim, já estava com o cabelo pintado de loiro, minha m?o tinha crescido muito em fun??o do pandeiro, meus polegares já n?o se mexiam por eu passar o tempo todo fazendo sinais de positivo.           N?o deu outra: entrei para um grupo de Pagode. Enquanto vários outros viciados cantavam uma "música" que n?o dizia nada, eu e mais 12 infelizes dan?ávamos alguns passinhos ensaiados, sorriamos e fazíamos sinais combinados.           Lembro-me de um dia quando entrei nas Lojas Americanas e pedi a coletanea "As Melhores do  Molej?o". Foi horrível!!! Eu já n?o pensava mais!!! Meu senso crítico havia sido dissolvido pelas rimas "miseráveis" e letras pouco arrojadas.           Meu cérebro estava travado, n?o pensava em mais nada. Mas a fase negra ainda estava por vir.           Cheguei ao fundo do po?o, no limiar da condi??o humana, quando comecei a escutar "Popozudas", "Bondes", "Tigr?es" e "Tapinhas". Comecei a ter delírios, a dizer coisas sem sentido.           Quando saía à noite para as festas pedia tapas na cara e fazia gestos obscenos.           Fui cercado por outros drogados, usuários das drogas mais estranhas; uns nobres queriam me mostrar o "caminho das pedras", outros extremistas preferiam o "caminho dos templos".           Minha fraqueza era tanta que estive próximo de sucumbir aos radicais e ser dominado pela droga mais poderosa do mercado: a droga limpa.           Hoje estou internado em uma clínica. Meus verdadeiros amigos fizeram a única coisa que poderiam ter feito por mim. Meu tratamento está sendo muito duro: doses cavalares de Rock, muita MPB, Progressivo e Blues. Mas o meu médico falou que é possível que tenha que recorrer ao Jazz e até a Mozart e Bach como medida extrema; isso asseguraria minha total recupera??o.           Queria aproveitar a oportunidade e aconselhar as pessoas a n?o se entregarem a esse tipo de droga. Os traficantes só pensam no dinheiro. Eles n?o se preocupam com a sua saúde, por isso tapam sua vis?o para as coisas boas e te oferecem drogas.           Se você n?o reagir, vai acabar drogado: alienado, inculto, manobrável, consumível, descartável e distante; vai perder as referências e definhar mentalmente.           Em vez de encher a cabe?a com porcaria, pratique esportes e, na dúvida, se n?o puder distinguir o que é droga ou n?o, fa?a o seguinte: n?o ligue a TV no domingo à tarde; n?o escute nada que venha de Goiania ou do interior de S?o Paulo; n?o entre em carros com adesivos "Fui", "Chique no Urtimo", "é Nóis na Fita"...se te oferecerem um CD, procure saber se o suspeito apareceu no Sabad?o do Gugu.           N?o compre nenhum CD que tenha mais de 6 pessoas na capa.           N?o vá a shows em que os suspeitos fa?am gestos ensaiados; n?o compre nenhum CD que a capa tenha nuvens ao fundo; n?o compre qualquer CD que tenha vendido mais de 1 milh?o de cópias no Brasil; e n?o escute nada que o autor n?o consiga uma concordancia verbal mínima. Mas, principalmente, duvide de tudo e de todos. A vida é bela! Eu sei que você consegue!           Diga n?o às drogas!      Um beijo bem grande para todos e fiquem com Deus.
20081001094914AAvc6xg	Entertainment & Music;Polls & Surveys	Você é uma pessoa romantica?que estilo de amor vc transmite a quem vc ama?	Anos 50 - Ele pede ao cantor da boate que ofere?a a ela a interpreta??o de uma bela bossa:        "Olha que coisa mais linda, mais cheia de gra?a.         é ela a menina que vem e que passa, no doce balan?o a caminho do mar.         Mo?a do corpo dourado, do sol de Ipanema.         O teu balan?ado é mais que um poema.         é a coisa mais linda que eu já vi passar."      Anos 60 - Ele aparece na casa dela com um compacto simples embaixo do bra?o, ajeita a cal?a lee e coloca na vitrola uma música papo firme:        "Nem mesmo o céu, nem as estrelas, nem mesmo o mar e o infinito        n?o é maior que o meu amor  nem mais bonito,         me desespero a procurar alguma forma de lhe falar,         Como é grande o meu amor por você"      Anos 70 - Ele chega em seu fusca, com tala larga, sacode o cabel?o, abre a porta pra mina entrar e bota uma mel? jóia  no toca-fitas:        "Foi assim, como ver o mar.         A primeira vez que os meus olhos, se viram no teu olhar,         quando eu mergulhei no azul do mar, sabia que era amor e vinha pra ficar... "      Anos 80 - Ele telefona pra ela e deixa rolar um som:       "Fonte de mel, num olhos de gueixa, Kabuk, máscara.        Choque entre o azul e o choque de acácias, luz das acácias, você é m?e do sol."      Anos 90 - Ele liga pra ela e deixa gravada uma música, na secretária eletr?nica :        "Bem que se quis, depois de tudo ainda ser feliz,         mas já n?o há caminhos pra voltar.        E o que é que a vida fez da minha vida?        O que é que a gente n?o faz por amor? "      Ano 2001 - Ele captura na internet um batid?o legal e manda pra ela, por e-mail:        "Tchutchuca! Vem aqui com o teu Tigr?o.        Vou te jogar na cama e te dar muita press?o!        Eu vou passar cerol  na m?o, vou sim, vou sim!        Eu vou te cortar na m?o! Vou sim,vou sim!        Vou aparar pela rabiola! Vou sim!"      Ano 2002 - "Vai, Serginho, vai Serginho..."                     (o resto é impublicável)      Incrível como as coisas sempre podem piorar...   E PIORAM !!!      Beijos meus amigos e fiquem na paz!   por favor,sem excluirem minha pergunta ok!
20081114112858AAxSoH2	Entertainment & Music;Polls & Surveys	Quem vc pensa que é? Será que vc está certo?	As vezes penso que sou uma mulher determinada,forte,cheia de for?as.........mas muitas vezes,penso que sou fraca,sem atitude,sem uma firmeza necessaria pra tomar decis?es em minha vida!      Mudo rapido de atitude sabe,um instante to triste,chorando,mas daqui a pouco,me levanto e sou outra,mas alegre..............      N?o sei se eu me conhe?o,n?o sei se o que penso sobre mim é verdadeiramente o certo!      E vc,sabe tudo a seu respeito?      Vc acha que o que vc pensa que é,realmente é?      kkkkkkkkkkkkkkkkkkkkkkkkkk      Confus?o? N?o,n?o acho,só uma forma de olharmos pra nós e vermos se realmente nos conhecemos!      Um grande beijo a todos.
20081119200322AAkfAZi	Entertainment & Music;Polls & Surveys	Vc sabe como conquistar uma mulher?	 é essa a dúvida de muitos homens. Entender a alma feminina n?o é um desafio fácil.As mulheres costumam ser muito detalhistas, sentimentais e complexas, enquanto os homens s?o objetivos, práticos e simples.       Ganhar o cora??o de uma mulher é algo trabalhoso e simples ao mesmo tempo. Você precisa se mostrar preocupado com ela, mas nada muito exagerado. Procure ouvi-la e compreende-la. Seja um grande amigo antes de qualquer coisa. Preste aten??o nos detalhes dela e seja carinhoso. Sempre que possível, fa?a uma gentileza ou mande uma carta.       As formas de conquista costumam variar, de acordo com o temperamento da mulher. Procure conhecer os gostos dela e tente agradar, sem abrir m?o da sua personalidade e sem fazer uso de mentiras.         MULHERES,VCS CONCORDAM?   HOMENS,APRENDERAM?      Beijos a todos e muito obrigado pelos parabéns,amei............   
20081121093302AAlYzdK	Entertainment & Music;Movies	Gostaria de dicas de filmes,pode ser?	Gosto de filmes de a??o,também de suspense,aquelas estórias que tem sentido,sabe como é?   Pois é,odeio filme bobo e de fic??o gritante de tantas mentiras......   Me da uma for?a ai,hoje vou locar uns e gostaria de sua ajuda......   Conto com vc para que meu fim de semana seja com ótimos filmes.      Ah e um de estória de amor,bem legal!      Um beijo e to esperando pra ver seu bom gosto.......
20080926171732AAPdKnP	Entertainment & Music;Other - Entertainment	Me diz...Quais s?o teus compositores preferidos?	Deixo um dos meus aqui...      Eu amava   Como amava algum cantor   De qualquer clichê   De cabaré, de lua e flor...      E sonhava como a feia   Na vitrine   Como carta   Que se assina em v?o...      Eu amava   Como amava um sonhador   Sem saber porquê   E amava ter no cora??o   A certeza ventilada de poesia   De que o dia, amanhece n?o...      Eu amava   Como amava um pescador   Que se encanta mais   Com a rede que com o mar   Eu amava, como jamais poderia   Se soubesse como te encontrar...   (Oswaldo Montenegro)         
20080913123452AAG4efJ	Entertainment & Music;Television;Other - Television	Me diz...O que voc considera imperdvel na programa??o da televis?o?	Beijinhos a todos ?
20080423063902AAE02xC	Entertainment & Music;Polls & Surveys	Quais s?o as tuas prioridades nessa vida??	Beijinhos a todos ?
20081024183338AAZGxxp	Entertainment & Music;Celebrities	Why are the Beatles so famous?	Personally (and please don't take offense, anyone) I don't think the Beatles are that good. I don't really care for their sound or the way they put together any of their songs, and I don't understand why a lot of people think they are the best band ever. These are just my own views, but could anyone explain to me why they like them??
20081012165844AAanS9c	Entertainment & Music;Polls & Surveys	Camaraderie between redheads?	I've always wondered why so many redheads have a sense of camaraderie between them, except for me. I have pretty vibrant red hair and I don't even think about it, but every other redhaired person I've ever met in my life always says something about it uniting 'us' against 'them.' Has anyone else noticed this and if so, why do you think that is??
20081011111742AAGAbqT	Entertainment & Music;Music;Lyrics	Please help me remember the name of this song!!!?	All I really remember of it is what I think is the chorus, with a lot of voices singing,   "Hey hey hey hey, hey hey hey hey, feelin' good! Just feelin' fine!!!" It's a rock song. Does anyone know the name of it?
20081101183429AAOZGxR	Entertainment & Music;Polls & Surveys	Could I still get back into band?	I played the drums from 5th grade to 8th grade. Now I'm a junior in high school and my friends have been pushing for me to get back into band at semester...I'd like to but I don't know if I'd be good enough. Obviously I'd be a little rusty but I looked at the percussion music and it didn't seem that bad. Do you think I could make it??
20081005182547AAp0RCp	Entertainment & Music;Polls & Surveys	Vc se considera uma pessoa tímida ou extrovertida?	Bjimm e ótima semana!!!
20090202124119AASo0hi	Entertainment & Music;Polls & Surveys	What do you have a craving for?	I want a nice, warm and wet cherry pie.
20090202130236AAcpUDu	Entertainment & Music;Polls & Surveys	Have you ever had the strong urge to google image the most random thing you can think of?	Like today I was doing an essay on La Fontaine and had the strangest urge to google "tentacle love".   It was intense O_o
20080313025602AAfGcIh	Entertainment & Music;Comics & Animation	What the song name?	what the song i of the Kamen Rider Black opening theme song?Thank for answer!
20081013110730AAKy9O5	Entertainment & Music;Music;Country	What is the C&W video about the son who has a stepdad?	that buys him expensive gifts and his real dad buys him smaller ones which he likes more????  Thx.
20081004143937AATgO4a	Entertainment & Music;Radio	Você está SATISFEITO(A) com o que tem tocado nas RáDIOS?	Estando ou n?o...   Supondo que existisse uma "YR FM" (rs), que música você gostaria de ouvir e/ou oferecer agora?      Boa noite! =)
20080423162844AAEujxk	Entertainment & Music;Music;Other - Music	Que MSICA funcionaria como sua PORTA-VOZ hoje?	Boa noite! =)
20071223094316AA6fmRl	Entertainment & Music;Television;Other - Television	Alguien sabe de un sitio web de  supernatural la serie?	es que quiero ver todos los episodios desde el pilot hasta el ultimo capitulo  que va de la serie. y tambien en las de smallville
20080301071042AAuGVyZ	Entertainment & Music;Comics & Animation	Which anime ep. no.s, did YTV (canada) show yesterday, Friday-29 Feb'08?	Episodes numbers of-    Death Note   Bleach   Gundam Seed Destiny
20080224082717AATSj5X	Entertainment & Music;Movies	Beastie Boys song in Matchstick Men?	In the movie Matchstick Men, when Nicolas Cage is discussing if his daughter has ever been arrested, his daughter is in the car with the radio playing a song by The Beastie Boys.  What's the name of that song?
20081117065132AAvYBC9	Entertainment & Music;Movies	In the movie Max Payne, what are those human bird like things?	Are they hallucinations created in the minds of those consuming that blue coloured drug, or are they for real in the movie?
20080308120332AAleyB4	Entertainment & Music;Polls & Surveys	What is this?	Sorry, Unable to process request at this time -- error 999.     Unfortunately we are unable to process your request at this time. This error is usually temporary. Please try again later.     If you continue to experience this error, it may be caused by one of the following:     You may want to scan your system for spyware and viruses, as they may interfere with your ability to connect to Yahoo!. For detailed information on spyware and virus protection, please visit the Yahoo! Security Center.   This problem may be due to unusual network activity coming from your Internet Service Provider. We recommend that you report this problem to them.   While this error is usually temporary, if it continues and the above solutions don't resolve your problem, please let us know.     Return to Yahoo!        Please try Yahoo! Help Central if you need more assistance.
20081024235236AAt93kq	Entertainment & Music;Music;Lyrics	Does anyone know the complete lyrics to simon & Garfunkels Bridge Over Troubled Water? If so please send asap?	I need them by wednesday 29th October at the latest for an audition on thursday      Many Thanks
20081102110453AAbVwOK	Entertainment & Music;Television;Talk Shows	Ever notice how all of the crazy hate filled Republican talk show host always talk about God? ?	New Flash....   If you hate everyone that disagrees with your view of the world, you will get that in return.      I can't imagine Jesus hanging out with the likes of Rush, Beck, Hannity,Savage,Lars larson,O'reilly and Laura Ingram.
20071226201051AACVgVW	Entertainment & Music;Television;Drama	Grey's Anatomy Season 1 DVD?	Has anyone rented/bought Season 1 of Grey's?      I can never seem to get the last episode of the season to work.  I own the DVD now, but I've rented it before and had the same problem.  Anyone else experience this..?    More importantly, does anyone have a solution so I can watch it?
20081028213037AAoyCt6	Entertainment & Music;Horoscopes	So...what are the charectoristics of aries men...?	...the good the bad the ugly...?
